# Descriptor, log10(TOF)
-8.5000e+01,-1.9867e+01
-8.4523e+01,-1.9595e+01
-8.4045e+01,-1.9322e+01
-8.3568e+01,-1.9050e+01
-8.3090e+01,-1.8777e+01
-8.2613e+01,-1.8505e+01
-8.2136e+01,-1.8233e+01
-8.1658e+01,-1.7960e+01
-8.1181e+01,-1.7688e+01
-8.0704e+01,-1.7415e+01
-8.0226e+01,-1.7143e+01
-7.9749e+01,-1.6871e+01
-7.9271e+01,-1.6598e+01
-7.8794e+01,-1.6326e+01
-7.8317e+01,-1.6053e+01
-7.7839e+01,-1.5781e+01
-7.7362e+01,-1.5509e+01
-7.6884e+01,-1.5236e+01
-7.6407e+01,-1.4964e+01
-7.5930e+01,-1.4691e+01
-7.5452e+01,-1.4419e+01
-7.4975e+01,-1.4147e+01
-7.4497e+01,-1.3874e+01
-7.4020e+01,-1.3602e+01
-7.3543e+01,-1.3329e+01
-7.3065e+01,-1.3057e+01
-7.2588e+01,-1.2784e+01
-7.2111e+01,-1.2512e+01
-7.1633e+01,-1.2240e+01
-7.1156e+01,-1.1967e+01
-7.0678e+01,-1.1695e+01
-7.0201e+01,-1.1423e+01
-6.9724e+01,-1.1150e+01
-6.9246e+01,-1.0878e+01
-6.8769e+01,-1.0605e+01
-6.8291e+01,-1.0333e+01
-6.7814e+01,-1.0061e+01
-6.7337e+01,-9.7888e+00
-6.6859e+01,-9.5169e+00
-6.6382e+01,-9.2452e+00
-6.5905e+01,-8.9741e+00
-6.5427e+01,-8.7039e+00
-6.4950e+01,-8.4350e+00
-6.4472e+01,-8.1685e+00
-6.3995e+01,-7.9057e+00
-6.3518e+01,-7.6489e+00
-6.3040e+01,-7.4013e+00
-6.2563e+01,-7.1674e+00
-6.2085e+01,-6.9526e+00
-6.1608e+01,-6.7622e+00
-6.1131e+01,-6.5996e+00
-6.0653e+01,-6.4651e+00
-6.0176e+01,-6.3556e+00
-5.9698e+01,-6.2661e+00
-5.9221e+01,-6.1910e+00
-5.8744e+01,-6.1259e+00
-5.8266e+01,-6.0671e+00
-5.7789e+01,-6.0125e+00
-5.7312e+01,-5.9603e+00
-5.6834e+01,-5.9097e+00
-5.6357e+01,-5.8601e+00
-5.5879e+01,-5.8110e+00
-5.5402e+01,-5.7624e+00
-5.4925e+01,-5.7140e+00
-5.4447e+01,-5.6658e+00
-5.3970e+01,-5.6177e+00
-5.3492e+01,-5.5698e+00
-5.3015e+01,-5.5219e+00
-5.2538e+01,-5.4740e+00
-5.2060e+01,-5.4263e+00
-5.1583e+01,-5.3786e+00
-5.1106e+01,-5.3310e+00
-5.0628e+01,-5.2834e+00
-5.0151e+01,-5.2360e+00
-4.9673e+01,-5.1886e+00
-4.9196e+01,-5.1414e+00
-4.8719e+01,-5.0942e+00
-4.8241e+01,-5.0472e+00
-4.7764e+01,-5.0003e+00
-4.7286e+01,-4.9537e+00
-4.6809e+01,-4.9072e+00
-4.6332e+01,-4.8609e+00
-4.5854e+01,-4.8149e+00
-4.5377e+01,-4.7692e+00
-4.4899e+01,-4.7239e+00
-4.4422e+01,-4.6790e+00
-4.3945e+01,-4.6346e+00
-4.3467e+01,-4.5907e+00
-4.2990e+01,-4.5475e+00
-4.2513e+01,-4.5050e+00
-4.2035e+01,-4.4634e+00
-4.1558e+01,-4.4228e+00
-4.1080e+01,-4.3833e+00
-4.0603e+01,-4.3451e+00
-4.0126e+01,-4.3083e+00
-3.9648e+01,-4.2732e+00
-3.9171e+01,-4.2398e+00
-3.8693e+01,-4.2085e+00
-3.8216e+01,-4.1794e+00
-3.7739e+01,-4.1527e+00
-3.7261e+01,-4.1286e+00
-3.6784e+01,-4.1072e+00
-3.6307e+01,-4.0887e+00
-3.5829e+01,-4.0731e+00
-3.5352e+01,-4.0606e+00
-3.4874e+01,-4.0512e+00
-3.4397e+01,-4.0448e+00
-3.3920e+01,-4.0415e+00
-3.3442e+01,-4.0411e+00
-3.2965e+01,-4.0434e+00
-3.2487e+01,-4.0485e+00
-3.2010e+01,-4.0560e+00
-3.1533e+01,-4.0658e+00
-3.1055e+01,-4.0778e+00
-3.0578e+01,-4.0918e+00
-3.0101e+01,-4.1076e+00
-2.9623e+01,-4.1249e+00
-2.9146e+01,-4.1438e+00
-2.8668e+01,-4.1640e+00
-2.8191e+01,-4.1855e+00
-2.7714e+01,-4.2080e+00
-2.7236e+01,-4.2316e+00
-2.6759e+01,-4.2562e+00
-2.6281e+01,-4.2816e+00
-2.5804e+01,-4.3080e+00
-2.5327e+01,-4.3351e+00
-2.4849e+01,-4.3631e+00
-2.4372e+01,-4.3919e+00
-2.3894e+01,-4.4215e+00
-2.3417e+01,-4.4520e+00
-2.2940e+01,-4.4834e+00
-2.2462e+01,-4.5158e+00
-2.1985e+01,-4.5494e+00
-2.1508e+01,-4.5842e+00
-2.1030e+01,-4.6206e+00
-2.0553e+01,-4.6589e+00
-2.0075e+01,-4.6995e+00
-1.9598e+01,-4.7429e+00
-1.9121e+01,-4.7901e+00
-1.8643e+01,-4.8420e+00
-1.8166e+01,-4.8998e+00
-1.7688e+01,-4.9651e+00
-1.7211e+01,-5.0395e+00
-1.6734e+01,-5.1248e+00
-1.6256e+01,-5.2222e+00
-1.5779e+01,-5.3330e+00
-1.5302e+01,-5.4572e+00
-1.4824e+01,-5.5946e+00
-1.4347e+01,-5.7439e+00
-1.3869e+01,-5.9036e+00
-1.3392e+01,-6.0720e+00
-1.2915e+01,-6.2474e+00
-1.2437e+01,-6.4282e+00
-1.1960e+01,-6.6133e+00
-1.1482e+01,-6.8017e+00
-1.1005e+01,-6.9925e+00
-1.0528e+01,-7.1852e+00
-1.0050e+01,-7.3794e+00
-9.5729e+00,-7.5747e+00
-9.0955e+00,-7.7711e+00
-8.6181e+00,-7.9682e+00
-8.1407e+00,-8.1662e+00
-7.6633e+00,-8.3649e+00
-7.1859e+00,-8.5643e+00
-6.7085e+00,-8.7644e+00
-6.2312e+00,-8.9652e+00
-5.7538e+00,-9.1669e+00
-5.2764e+00,-9.3694e+00
-4.7990e+00,-9.5728e+00
-4.3216e+00,-9.7772e+00
-3.8442e+00,-9.9826e+00
-3.3668e+00,-1.0189e+01
-2.8894e+00,-1.0397e+01
-2.4121e+00,-1.0606e+01
-1.9347e+00,-1.0816e+01
-1.4573e+00,-1.1028e+01
-9.7990e-01,-1.1242e+01
-5.0251e-01,-1.1456e+01
-2.5126e-02,-1.1673e+01
4.5226e-01,-1.1891e+01
9.2965e-01,-1.2111e+01
1.4070e+00,-1.2333e+01
1.8844e+00,-1.2556e+01
2.3618e+00,-1.2781e+01
2.8392e+00,-1.3007e+01
3.3166e+00,-1.3236e+01
3.7940e+00,-1.3465e+01
4.2714e+00,-1.3697e+01
4.7487e+00,-1.3930e+01
5.2261e+00,-1.4164e+01
5.7035e+00,-1.4399e+01
6.1809e+00,-1.4636e+01
6.6583e+00,-1.4874e+01
7.1357e+00,-1.5113e+01
7.6131e+00,-1.5353e+01
8.0905e+00,-1.5594e+01
8.5678e+00,-1.5836e+01
9.0452e+00,-1.6078e+01
9.5226e+00,-1.6322e+01
1.0000e+01,-1.6566e+01
