# Descriptor 1, Descriptor 2, log10(TOF)
-1.0000e+02,5.3333e+00,-9.7110e+01
-1.0000e+02,5.3367e+00,-9.7392e+01
-1.0000e+02,5.3400e+00,-9.7674e+01
-1.0000e+02,5.3434e+00,-9.7956e+01
-1.0000e+02,5.3467e+00,-9.8238e+01
-1.0000e+02,5.3501e+00,-9.8520e+01
-1.0000e+02,5.3534e+00,-9.8802e+01
-1.0000e+02,5.3568e+00,-9.9084e+01
-1.0000e+02,5.3601e+00,-9.9366e+01
-1.0000e+02,5.3635e+00,-9.9648e+01
-1.0000e+02,5.3668e+00,-9.9930e+01
-1.0000e+02,5.3702e+00,-1.0021e+02
-1.0000e+02,5.3735e+00,-1.0049e+02
-1.0000e+02,5.3769e+00,-1.0078e+02
-1.0000e+02,5.3802e+00,-1.0106e+02
-1.0000e+02,5.3836e+00,-1.0134e+02
-1.0000e+02,5.3869e+00,-1.0162e+02
-1.0000e+02,5.3903e+00,-1.0190e+02
-1.0000e+02,5.3936e+00,-1.0219e+02
-1.0000e+02,5.3970e+00,-1.0247e+02
-1.0000e+02,5.4003e+00,-1.0275e+02
-1.0000e+02,5.4037e+00,-1.0303e+02
-1.0000e+02,5.4070e+00,-1.0331e+02
-1.0000e+02,5.4104e+00,-1.0360e+02
-1.0000e+02,5.4137e+00,-1.0388e+02
-1.0000e+02,5.4171e+00,-1.0416e+02
-1.0000e+02,5.4204e+00,-1.0444e+02
-1.0000e+02,5.4238e+00,-1.0472e+02
-1.0000e+02,5.4271e+00,-1.0501e+02
-1.0000e+02,5.4305e+00,-1.0529e+02
-1.0000e+02,5.4338e+00,-1.0557e+02
-1.0000e+02,5.4372e+00,-1.0585e+02
-1.0000e+02,5.4405e+00,-1.0613e+02
-1.0000e+02,5.4439e+00,-1.0642e+02
-1.0000e+02,5.4472e+00,-1.0670e+02
-1.0000e+02,5.4506e+00,-1.0698e+02
-1.0000e+02,5.4539e+00,-1.0726e+02
-1.0000e+02,5.4573e+00,-1.0754e+02
-1.0000e+02,5.4606e+00,-1.0783e+02
-1.0000e+02,5.4640e+00,-1.0811e+02
-1.0000e+02,5.4673e+00,-1.0839e+02
-1.0000e+02,5.4707e+00,-1.0867e+02
-1.0000e+02,5.4740e+00,-1.0895e+02
-1.0000e+02,5.4774e+00,-1.0923e+02
-1.0000e+02,5.4807e+00,-1.0952e+02
-1.0000e+02,5.4841e+00,-1.0980e+02
-1.0000e+02,5.4874e+00,-1.1008e+02
-1.0000e+02,5.4908e+00,-1.1036e+02
-1.0000e+02,5.4941e+00,-1.1064e+02
-1.0000e+02,5.4975e+00,-1.1093e+02
-1.0000e+02,5.5008e+00,-1.1121e+02
-1.0000e+02,5.5042e+00,-1.1149e+02
-1.0000e+02,5.5075e+00,-1.1177e+02
-1.0000e+02,5.5109e+00,-1.1205e+02
-1.0000e+02,5.5142e+00,-1.1234e+02
-1.0000e+02,5.5176e+00,-1.1262e+02
-1.0000e+02,5.5209e+00,-1.1290e+02
-1.0000e+02,5.5243e+00,-1.1318e+02
-1.0000e+02,5.5276e+00,-1.1346e+02
-1.0000e+02,5.5310e+00,-1.1375e+02
-1.0000e+02,5.5343e+00,-1.1403e+02
-1.0000e+02,5.5377e+00,-1.1431e+02
-1.0000e+02,5.5410e+00,-1.1459e+02
-1.0000e+02,5.5444e+00,-1.1487e+02
-1.0000e+02,5.5477e+00,-1.1516e+02
-1.0000e+02,5.5511e+00,-1.1544e+02
-1.0000e+02,5.5544e+00,-1.1572e+02
-1.0000e+02,5.5578e+00,-1.1600e+02
-1.0000e+02,5.5611e+00,-1.1628e+02
-1.0000e+02,5.5645e+00,-1.1657e+02
-1.0000e+02,5.5678e+00,-1.1685e+02
-1.0000e+02,5.5712e+00,-1.1713e+02
-1.0000e+02,5.5745e+00,-1.1741e+02
-1.0000e+02,5.5779e+00,-1.1769e+02
-1.0000e+02,5.5812e+00,-1.1798e+02
-1.0000e+02,5.5846e+00,-1.1826e+02
-1.0000e+02,5.5879e+00,-1.1854e+02
-1.0000e+02,5.5913e+00,-1.1882e+02
-1.0000e+02,5.5946e+00,-1.1910e+02
-1.0000e+02,5.5980e+00,-1.1939e+02
-1.0000e+02,5.6013e+00,-1.1967e+02
-1.0000e+02,5.6047e+00,-1.1995e+02
-1.0000e+02,5.6080e+00,-1.2023e+02
-1.0000e+02,5.6114e+00,-1.2051e+02
-1.0000e+02,5.6147e+00,-1.2080e+02
-1.0000e+02,5.6181e+00,-1.2108e+02
-1.0000e+02,5.6214e+00,-1.2136e+02
-1.0000e+02,5.6248e+00,-1.2164e+02
-1.0000e+02,5.6281e+00,-1.2192e+02
-1.0000e+02,5.6315e+00,-1.2221e+02
-1.0000e+02,5.6348e+00,-1.2249e+02
-1.0000e+02,5.6382e+00,-1.2277e+02
-1.0000e+02,5.6415e+00,-1.2305e+02
-1.0000e+02,5.6449e+00,-1.2333e+02
-1.0000e+02,5.6482e+00,-1.2362e+02
-1.0000e+02,5.6516e+00,-1.2390e+02
-1.0000e+02,5.6549e+00,-1.2418e+02
-1.0000e+02,5.6583e+00,-1.2446e+02
-1.0000e+02,5.6616e+00,-1.2474e+02
-1.0000e+02,5.6650e+00,-1.2503e+02
-1.0000e+02,5.6683e+00,-1.2531e+02
-1.0000e+02,5.6717e+00,-1.2559e+02
-1.0000e+02,5.6750e+00,-1.2587e+02
-1.0000e+02,5.6784e+00,-1.2615e+02
-1.0000e+02,5.6817e+00,-1.2644e+02
-1.0000e+02,5.6851e+00,-1.2672e+02
-1.0000e+02,5.6884e+00,-1.2700e+02
-1.0000e+02,5.6918e+00,-1.2728e+02
-1.0000e+02,5.6951e+00,-1.2756e+02
-1.0000e+02,5.6985e+00,-1.2785e+02
-1.0000e+02,5.7018e+00,-1.2813e+02
-1.0000e+02,5.7052e+00,-1.2841e+02
-1.0000e+02,5.7085e+00,-1.2869e+02
-1.0000e+02,5.7119e+00,-1.2897e+02
-1.0000e+02,5.7152e+00,-1.2926e+02
-1.0000e+02,5.7186e+00,-1.2954e+02
-1.0000e+02,5.7219e+00,-1.2982e+02
-1.0000e+02,5.7253e+00,-1.3010e+02
-1.0000e+02,5.7286e+00,-1.3038e+02
-1.0000e+02,5.7320e+00,-1.3067e+02
-1.0000e+02,5.7353e+00,-1.3095e+02
-1.0000e+02,5.7387e+00,-1.3123e+02
-1.0000e+02,5.7420e+00,-1.3151e+02
-1.0000e+02,5.7454e+00,-1.3179e+02
-1.0000e+02,5.7487e+00,-1.3208e+02
-1.0000e+02,5.7521e+00,-1.3236e+02
-1.0000e+02,5.7554e+00,-1.3264e+02
-1.0000e+02,5.7588e+00,-1.3292e+02
-1.0000e+02,5.7621e+00,-1.3320e+02
-1.0000e+02,5.7655e+00,-1.3349e+02
-1.0000e+02,5.7688e+00,-1.3377e+02
-1.0000e+02,5.7722e+00,-1.3405e+02
-1.0000e+02,5.7755e+00,-1.3433e+02
-1.0000e+02,5.7789e+00,-1.3461e+02
-1.0000e+02,5.7822e+00,-1.3489e+02
-1.0000e+02,5.7856e+00,-1.3518e+02
-1.0000e+02,5.7889e+00,-1.3546e+02
-1.0000e+02,5.7923e+00,-1.3574e+02
-1.0000e+02,5.7956e+00,-1.3602e+02
-1.0000e+02,5.7990e+00,-1.3630e+02
-1.0000e+02,5.8023e+00,-1.3659e+02
-1.0000e+02,5.8057e+00,-1.3687e+02
-1.0000e+02,5.8090e+00,-1.3715e+02
-1.0000e+02,5.8124e+00,-1.3743e+02
-1.0000e+02,5.8157e+00,-1.3771e+02
-1.0000e+02,5.8191e+00,-1.3800e+02
-1.0000e+02,5.8224e+00,-1.3828e+02
-1.0000e+02,5.8258e+00,-1.3856e+02
-1.0000e+02,5.8291e+00,-1.3884e+02
-1.0000e+02,5.8325e+00,-1.3912e+02
-1.0000e+02,5.8358e+00,-1.3941e+02
-1.0000e+02,5.8392e+00,-1.3969e+02
-1.0000e+02,5.8425e+00,-1.3997e+02
-1.0000e+02,5.8459e+00,-1.4025e+02
-1.0000e+02,5.8492e+00,-1.4053e+02
-1.0000e+02,5.8526e+00,-1.4082e+02
-1.0000e+02,5.8559e+00,-1.4110e+02
-1.0000e+02,5.8593e+00,-1.4138e+02
-1.0000e+02,5.8626e+00,-1.4166e+02
-1.0000e+02,5.8660e+00,-1.4194e+02
-1.0000e+02,5.8693e+00,-1.4223e+02
-1.0000e+02,5.8727e+00,-1.4251e+02
-1.0000e+02,5.8760e+00,-1.4279e+02
-1.0000e+02,5.8794e+00,-1.4307e+02
-1.0000e+02,5.8827e+00,-1.4335e+02
-1.0000e+02,5.8861e+00,-1.4364e+02
-1.0000e+02,5.8894e+00,-1.4392e+02
-1.0000e+02,5.8928e+00,-1.4420e+02
-1.0000e+02,5.8961e+00,-1.4448e+02
-1.0000e+02,5.8995e+00,-1.4476e+02
-1.0000e+02,5.9028e+00,-1.4505e+02
-1.0000e+02,5.9062e+00,-1.4533e+02
-1.0000e+02,5.9095e+00,-1.4561e+02
-1.0000e+02,5.9129e+00,-1.4589e+02
-1.0000e+02,5.9162e+00,-1.4617e+02
-1.0000e+02,5.9196e+00,-1.4646e+02
-1.0000e+02,5.9229e+00,-1.4674e+02
-1.0000e+02,5.9263e+00,-1.4702e+02
-1.0000e+02,5.9296e+00,-1.4730e+02
-1.0000e+02,5.9330e+00,-1.4758e+02
-1.0000e+02,5.9363e+00,-1.4787e+02
-1.0000e+02,5.9397e+00,-1.4815e+02
-1.0000e+02,5.9430e+00,-1.4843e+02
-1.0000e+02,5.9464e+00,-1.4871e+02
-1.0000e+02,5.9497e+00,-1.4899e+02
-1.0000e+02,5.9531e+00,-1.4928e+02
-1.0000e+02,5.9564e+00,-1.4956e+02
-1.0000e+02,5.9598e+00,-1.4984e+02
-1.0000e+02,5.9631e+00,-1.5012e+02
-1.0000e+02,5.9665e+00,-1.5040e+02
-1.0000e+02,5.9698e+00,-1.5069e+02
-1.0000e+02,5.9732e+00,-1.5097e+02
-1.0000e+02,5.9765e+00,-1.5125e+02
-1.0000e+02,5.9799e+00,-1.5153e+02
-1.0000e+02,5.9832e+00,-1.5181e+02
-1.0000e+02,5.9866e+00,-1.5210e+02
-1.0000e+02,5.9899e+00,-1.5238e+02
-1.0000e+02,5.9933e+00,-1.5266e+02
-1.0000e+02,5.9966e+00,-1.5294e+02
-1.0000e+02,6.0000e+00,-1.5322e+02
-9.8995e+01,5.3333e+00,-9.5942e+01
-9.8995e+01,5.3367e+00,-9.6224e+01
-9.8995e+01,5.3400e+00,-9.6506e+01
-9.8995e+01,5.3434e+00,-9.6788e+01
-9.8995e+01,5.3467e+00,-9.7070e+01
-9.8995e+01,5.3501e+00,-9.7352e+01
-9.8995e+01,5.3534e+00,-9.7634e+01
-9.8995e+01,5.3568e+00,-9.7916e+01
-9.8995e+01,5.3601e+00,-9.8198e+01
-9.8995e+01,5.3635e+00,-9.8480e+01
-9.8995e+01,5.3668e+00,-9.8762e+01
-9.8995e+01,5.3702e+00,-9.9044e+01
-9.8995e+01,5.3735e+00,-9.9326e+01
-9.8995e+01,5.3769e+00,-9.9608e+01
-9.8995e+01,5.3802e+00,-9.9890e+01
-9.8995e+01,5.3836e+00,-1.0017e+02
-9.8995e+01,5.3869e+00,-1.0045e+02
-9.8995e+01,5.3903e+00,-1.0074e+02
-9.8995e+01,5.3936e+00,-1.0102e+02
-9.8995e+01,5.3970e+00,-1.0130e+02
-9.8995e+01,5.4003e+00,-1.0158e+02
-9.8995e+01,5.4037e+00,-1.0186e+02
-9.8995e+01,5.4070e+00,-1.0215e+02
-9.8995e+01,5.4104e+00,-1.0243e+02
-9.8995e+01,5.4137e+00,-1.0271e+02
-9.8995e+01,5.4171e+00,-1.0299e+02
-9.8995e+01,5.4204e+00,-1.0327e+02
-9.8995e+01,5.4238e+00,-1.0356e+02
-9.8995e+01,5.4271e+00,-1.0384e+02
-9.8995e+01,5.4305e+00,-1.0412e+02
-9.8995e+01,5.4338e+00,-1.0440e+02
-9.8995e+01,5.4372e+00,-1.0468e+02
-9.8995e+01,5.4405e+00,-1.0497e+02
-9.8995e+01,5.4439e+00,-1.0525e+02
-9.8995e+01,5.4472e+00,-1.0553e+02
-9.8995e+01,5.4506e+00,-1.0581e+02
-9.8995e+01,5.4539e+00,-1.0609e+02
-9.8995e+01,5.4573e+00,-1.0638e+02
-9.8995e+01,5.4606e+00,-1.0666e+02
-9.8995e+01,5.4640e+00,-1.0694e+02
-9.8995e+01,5.4673e+00,-1.0722e+02
-9.8995e+01,5.4707e+00,-1.0750e+02
-9.8995e+01,5.4740e+00,-1.0779e+02
-9.8995e+01,5.4774e+00,-1.0807e+02
-9.8995e+01,5.4807e+00,-1.0835e+02
-9.8995e+01,5.4841e+00,-1.0863e+02
-9.8995e+01,5.4874e+00,-1.0891e+02
-9.8995e+01,5.4908e+00,-1.0920e+02
-9.8995e+01,5.4941e+00,-1.0948e+02
-9.8995e+01,5.4975e+00,-1.0976e+02
-9.8995e+01,5.5008e+00,-1.1004e+02
-9.8995e+01,5.5042e+00,-1.1032e+02
-9.8995e+01,5.5075e+00,-1.1061e+02
